feature,tfidf,day
#sunday,0.176304198,1
#sundate,0.154044482,1
#01,0.152425016,1
#hungrygowhere,0.146920165,1
#openricesg,0.146920165,1
#iphone,0.131672116,1
#exploresingaporeeats,0.131672116,1
#vanilla,0.117536132,1
#cafehop,0.117536132,1
#instagram,0.117536132,1
#mochi,0.114318762,1
#jelly,0.114318762,1
#asia,0.114318762,1
#icecreamandwaffles,0.102696321,1
#foodpornasia,0.102696321,1
#city,0.102696321,1
#vscoedit,0.102696321,1
#sundae,0.102696321,1
#foodstyling,0.102696321,1
#lifeisgood,0.102696321,1
#mondayblues,0.102696321,1
#hollandvillagefood,0.102696321,1
#sgtrip,0.102696321,1
#belgianwaffles,0.100140038,1
#foodblogger,0.088152099,1
#sgdessert,0.088152099,1
#brunch,0.088152099,1
#exploresingapore,0.088152099,1
#amazing,0.088152099,1
#instamood,0.088152099,1
#instagramsg,0.088152099,1
#delish,0.088152099,1
#desserttime,0.088152099,1
#sgfoodunion,0.088152099,1
#blueberry,0.088152099,1
#instadesserts,0.087781411,1
#sundayfunday,0.087781411,1
#samsunggalaxy,0.087781411,1
#soft,0.087781411,1
#hkig,0.087781411,1
#iphoneonly,0.076212508,1
#toppings,0.076212508,1
#enjoy,0.076212508,1
#tb,0.076212508,1
#iweeklyfood,0.076212508,1
#singaporeeats,0.076212508,1
#tbt,0.076212508,1
#chipbeegarden,0.076212508,1
#passionfruit,0.076212508,1
#weekends,0.076212508,1
#tuesday,0.184190043,2
#instalove,0.170862803,2
#picoftheday,0.149671038,2
#sinful,0.136690243,2
#comfortfood,0.136690243,2
#blueberry,0.131753655,2
#exploresingapore,0.131753655,2
#foodoftheday,0.11973683,2
#vscogood,0.11973683,2
#icecreamwaffles,0.11973683,2
#petite,0.118079657,2
#friends,0.105402924,2
#latte,0.105402924,2
#dinner,0.105402924,2
#hollandv,0.105402924,2
#instacafe,0.102517682,2
#afternoontea,0.102517682,2
#marshmallow,0.102517682,2
#vscogrid,0.092095021,2
#coffeebreak,0.092095021,2
#vscocamsunday,0.092095021,2
#coconut,0.092095021,2
#grey,0.092095021,2
#earl,0.092095021,2
#tuesdate,0.092095021,2
#theboingster,0.092095021,2
#goodhealth,0.092095021,2
#junkfood,0.092095021,2
#pistachionuts,0.092095021,2
#sauce,0.092095021,2
#chocolatecorn,0.092095021,2
#yuzucheesecake,0.092095021,2
#selfie,0.089802623,2
#______,0.089802623,2
#ice,0.089802623,2
#bff,0.089802623,2
#fruits,0.089802623,2
#creamier,0.089802623,2
#fotd,0.079052193,2
#waffleicecream,0.079052193,2
#vscogram,0.079052193,2
#softserveicecream,0.079052193,2
#familytime,0.078719771,2
#size,0.078719771,2
#likeforlike,0.078719771,2
#besties,0.078719771,2
#eggy,0.078719771,2
#churnedicecream,0.078719771,2
#local,0.078719771,2
#desert,0.078719771,2
#hungrygowhere,0.201102168,3
#midweek,0.20081317,3
#wednesday,0.150609878,3
#tb,0.14902652,3
#igers,0.143644406,3
#softserveicecream,0.143644406,3
#feedfeed,0.128736331,3
#01,0.11176989,3
#foodforthought,0.11176989,3
#sgfoodsteps,0.100406585,3
#foodinsg,0.100406585,3
#tuesday,0.100406585,3
#leica,0.100406585,3
#blogger,0.100406585,3
#daily,0.100406585,3
#jiaklocal,0.100406585,3
#oralpleasure,0.100406585,3
#myambiance,0.097907298,3
#strawberries,0.097907298,3
#wafflesicecream,0.086186643,3
#goodfood,0.086186643,3
#sgfoodunion,0.086186643,3
#berries,0.086186643,3
#chill,0.086186643,3
#white,0.085824221,3
#follow,0.085824221,3
#singaporeearl,0.085824221,3
#singaporecafe,0.085824221,3
#wafflelover,0.085824221,3
#hummingbirdcake,0.085824221,3
#madagascanvanilla,0.085824221,3
#onmytable,0.085824221,3
#squaready,0.085824221,3
#girlfriends,0.085824221,3
#livetoeat,0.085824221,3
#iphonesia,0.085824221,3
#sgfoodlover,0.085824221,3
#lovely,0.085824221,3
#iweeklyfood,0.07451326,3
#sweettreat,0.07451326,3
#repost,0.07451326,3
#noms,0.07451326,3
#toppings,0.07451326,3
#sgeat,0.07451326,3
#blessed,0.065271532,3
#photogrid,0.065271532,3
#folks,0.065271532,3
#bff,0.065271532,3
#foodspotting,0.065271532,3
#belgianwaffles,0.065271532,3
#myambiance,0.213460514,4
#foodlovers,0.14072756,4
#dessertssg,0.14072756,4
#topping,0.14072756,4
#thursday,0.14072756,4
#life,0.139248094,4
#marshmallow,0.139248094,4
#waffleicecream,0.134219129,4
#sgdessert,0.134219129,4
#foodspotting,0.121977436,4
#backdrop,0.121977436,4
#popcorn,0.121977436,4
#picoftheday,0.121977436,4
#instagramsg,0.107375303,4
#tbt,0.10443607,4
#passionfruit,0.10443607,4
#foods,0.10443607,4
#sketch,0.093818373,4
#tuesdate,0.093818373,4
#vscosingapore,0.093818373,4
#1,0.093818373,4
#coffeeaddict,0.093818373,4
#merlion,0.093818373,4
#foodpicoftheday,0.093818373,4
#justdessertsg,0.093818373,4
#ig_food,0.093818373,4
#hungry,0.091483077,4
#sgmakandiary,0.091483077,4
#yummyinmytummy,0.091483077,4
#icecreamwaffles,0.091483077,4
#bff,0.091483077,4
#instamood,0.080531478,4
#weekend,0.080531478,4
#blueberry,0.080531478,4
#foodblogger,0.080531478,4
#exploresingapore,0.080531478,4
#friends,0.080531478,4
#softserveicecream,0.080531478,4
#happyfood,0.080192835,4
#chocolatesauce,0.080192835,4
#fun,0.080192835,4
#charcoal,0.080192835,4
#sweettreats,0.069624047,4
#watercolor,0.069624047,4
#eating,0.069624047,4
#enjoy,0.069624047,4
#yay,0.069624047,4
#sundayfolkscafe,0.069624047,4
#foodart,0.069624047,4
#vscogood,0.060988718,4
#tgif,0.846836327,5
#backdrop,0.114496152,5
#friday,0.11291151,5
#lifestyle,0.110080223,5
#vanilla,0.100789617,5
#myambiance,0.100184133,5
#sgdessert,0.075592213,5
#nofilter,0.071560095,5
#weekday,0.066048134,5
#summer,0.066048134,5
#fridate,0.066048134,5
#______,0.057248076,5
#foodspotting,0.057248076,5
#picoftheday,0.057248076,5
