feature,tfidf,day
#onthetable,0.36634437,1
#foodgasm,0.31400946,1
#exploresingaporeeats,0.234516766,1
#instagram,0.182908954,1
#sgtrip,0.182908954,1
#sgfoodporn,0.15700473,1
#shiok,0.15634451,1
#goodeats,0.15634451,1
#passionfruit,0.15634451,1
#openricesg,0.15634451,1
#foodsg,0.135739527,1
#foodgram,0.135739527,1
#exsgcafes,0.135739527,1
#hungrygowhere,0.11890403,1
#instadaily,0.11890403,1
#instagood,0.11890403,1
#burpplesg,0.11890403,1
#latte,0.11890403,1
#exploresingapore,0.10466982,1
#_____,0.10466982,1
#foodpics,0.10466982,1
#makan,0.091454477,1
#mochi,0.091454477,1
#koreanfood,0.091454477,1
#koreafood,0.091454477,1
#softee,0.091454477,1
#latepost,0.091454477,1
#sgfoodblog,0.091454477,1
#starryworld,0.091454477,1
#tb,0.091454477,1
#tbt,0.091454477,1
#seoul,0.091454477,1
#instadesserts,0.091454477,1
#seoulfood,0.091454477,1
#labourday,0.091454477,1
#igkr,0.091454477,1
#foodiegram,0.091454477,1
#vlrnyeats,0.091454477,1
#chillin,0.091454477,1
#desserti,0.091454477,1
#cravings,0.091454477,1
#sgfoodunion,0.078172255,1
#fresh,0.078172255,1
#foodpic,0.078172255,1
#mocha,0.078172255,1
#sgfoodblogger,0.078172255,1
#getinmybelly,0.078172255,1
#foodblogger,0.078172255,1
#breakfast,0.078172255,1
#softcream,0.078172255,1
#instalike,0.226665801,2
#foodgram,0.20700734,2
#latte,0.181332641,2
#singaporefood,0.178822974,2
#earlgrey,0.159624992,2
#cone,0.155255505,2
#potd,0.155255505,2
#goodhealth,0.13947115,2
#coconut,0.13947115,2
#chocolatecorn,0.13947115,2
#junkfood,0.13947115,2
#flakes,0.13947115,2
#picoftheday,0.13947115,2
#icecreamwaffles,0.13947115,2
#pistachionuts,0.13947115,2
#pocky,0.13947115,2
#comfortfood,0.13947115,2
#whati8today,0.135999481,2
#lavender,0.135999481,2
#fatdieme,0.135999481,2
#instadessert,0.119718744,2
#instafood_sg,0.119718744,2
#foodgasm,0.119718744,2
#latergram,0.119718744,2
#earlgreylavendericecream,0.119215316,2
#familytime,0.119215316,2
#toppings,0.119215316,2
#sgcafes,0.10350367,2
#8dayseat,0.10350367,2
#happiness,0.10350367,2
#cheesecake,0.10350367,2
#sony,0.10350367,2
#instadaily,0.09066632,2
#tasty,0.09066632,2
#pistachioicecream,0.09066632,2
#instafoodsg,0.09066632,2
#roastedpistachio,0.09066632,2
#softserveicecream,0.079812496,2
#sgfoodporn,0.079812496,2
#love,0.079812496,2
#igfood,0.079812496,2
#exploresingapore,0.079812496,2
#latepost,0.069735575,2
#belgianwaffle,0.069735575,2
#fruit,0.069735575,2
#sogood,0.069735575,2
#coffeetime,0.069735575,2
#biscotti,0.069735575,2
#whatdiet,0.069735575,2
#wheretoeatsg,0.069735575,2
#earlgrey,0.269472721,3
#wafflesandicecream,0.255098943,3
#foodforthought,0.201254673,3
#igdaily,0.174730881,3
#01,0.174730881,3
#daily,0.156966525,3
#oralpleasure,0.156966525,3
#roastedpistachio,0.153059366,3
#honeycomb,0.153059366,3
#myambiance,0.153059366,3
#whati8today,0.153059366,3
#sweet,0.134736361,3
#love,0.134736361,3
#white,0.134169782,3
#cheesecake,0.116487254,3
#foodsg,0.116487254,3
#8dayseat,0.116487254,3
#foodpornsg,0.116487254,3
#sgcafehopping,0.102039577,3
#foodiesg,0.102039577,3
#photooftheday,0.102039577,3
#strawberries,0.102039577,3
#hungrygowhere,0.102039577,3
#igfood,0.08982424,3
#yum,0.08982424,3
#dessertlover,0.08982424,3
#roastedpistachios,0.078483262,3
#popcorncaramel,0.078483262,3
#girlfriends,0.078483262,3
#earlygreylavender,0.078483262,3
#howtoresist,0.078483262,3
#lemon,0.078483262,3
#howtonotfat,0.078483262,3
#eeeeeats,0.078483262,3
#sgdesserts,0.078483262,3
#desserti,0.078483262,3
#singaporeearl,0.078483262,3
#speakeasy,0.078483262,3
#goodfoodmustshare,0.078483262,3
#pictureoftheday,0.078483262,3
#libertycoffee,0.078483262,3
#papapalheta,0.078483262,3
#freshlychurned,0.078483262,3
#ootd,0.078483262,3
#fincaisnul,0.078483262,3
#nationalday,0.078483262,3
#instacool,0.078483262,3
#follow,0.078483262,3
#mayplesyrup,0.078483262,3
#malaysia,0.078483262,3
#myambiance,0.287371187,4
#foodgasm,0.216830981,4
#marshmallow,0.189454458,4
#topping,0.189454458,4
#_____,0.180692484,4
#backdrop,0.164212107,4
#blueberry,0.16193939,4
#popcorn,0.16193939,4
#shiok,0.16193939,4
#passionfruit,0.16193939,4
#foodpic,0.16193939,4
#onthetable,0.144553987,4
#foodpics,0.144553987,4
#strawberry,0.140597045,4
#___,0.108415491,4
#earlgrey,0.108415491,4
#instafood_sg,0.108415491,4
#yum,0.108415491,4
#foodblogger,0.107959593,4
#weekend,0.107959593,4
#earlgreylavendericecream,0.107959593,4
#foodies,0.107959593,4
#delish,0.093731364,4
#sgmakandiary,0.093731364,4
#8dayseat,0.093731364,4
#cone,0.093731364,4
#desserttime,0.093731364,4
#hungry,0.093731364,4
#watercolor,0.093731364,4
#darkchocolate,0.093731364,4
#eating,0.093731364,4
#sgdessert,0.082106053,4
#honeycomb,0.082106053,4
#instalike,0.082106053,4
#fatdieme,0.082106053,4
#wafflesandicecream,0.082106053,4
#lavender,0.082106053,4
#whati8today,0.082106053,4
#sweet,0.072276994,4
#exploresingapore,0.072276994,4
#delicious,0.072276994,4
#love,0.072276994,4
#latergram,0.072276994,4
#igkr,0.063151486,4
#travel,0.063151486,4
#pictureoftheday,0.063151486,4
#losangeles,0.063151486,4
#igsgfood,0.063151486,4
#size,0.063151486,4
#singleslice,0.063151486,4
#backdrop,0.31446475,5
#myambiance,0.275156656,5
#lavender,0.196540469,5
#lifestyle,0.181401816,5
#strawberry,0.179494742,5
#sweet,0.173012264,5
#foodlover,0.155056258,5
#friday,0.155056258,5
#earlgrey,0.138409811,5
#foodpics,0.138409811,5
#yum,0.138409811,5
#sgcafes,0.134621057,5
#fridate,0.120934544,5
#sugarrush,0.120934544,5
#instalike,0.117924281,5
#pistachioicecream,0.117924281,5
#sgcafehopping,0.117924281,5
#instadaily,0.117924281,5
#icecreamwaffle,0.117924281,5
#tea,0.117924281,5
#foodgasm,0.103807359,5
#sgcafefood,0.103807359,5
#love,0.103807359,5
#blueberry,0.103370839,5
#fooddiary,0.103370839,5
#hollandv,0.103370839,5
#foodforfoodies,0.103370839,5
#dinner,0.089747371,5
#01,0.089747371,5
#potd,0.089747371,5
#igdaily,0.089747371,5
#instapic,0.089747371,5
#instamood,0.078616187,5
#sunday,0.078616187,5
#instagood,0.078616187,5
#instafoodsg,0.078616187,5
#wafflesandicecream,0.078616187,5
#exploresingapore,0.069204906,5
#onthetable,0.069204906,5
#latergram,0.069204906,5
#igfood,0.069204906,5
#golocal,0.060467272,5
#icecreamwaffles,0.060467272,5
#igsgfood,0.060467272,5
#sgfoodiary,0.060467272,5
#icecreamlover,0.060467272,5
#instafoodstill,0.060467272,5
#hangout,0.060467272,5
#sgvsco,0.060467272,5
#handmade,0.060467272,5
#saturday,0.29890557,6
#foodgasm,0.285081653,6
#___,0.256573488,6
#earlgrey,0.171048992,6
#weekend,0.170329715,6
#instagood,0.161925173,6
#foodcoma,0.149452785,6
#instagram,0.149452785,6
#chipbeegardens,0.129540138,6
#whati8today,0.129540138,6
#myambiance,0.129540138,6
#myambience,0.127747286,6
#foodblogger,0.127747286,6
#foodies,0.127747286,6
#singaporefood,0.127747286,6
#sgfoodporn,0.114032661,6
#topping,0.09963519,6
#biscotti,0.09963519,6
#howtoresist,0.09963519,6
#foodart,0.09963519,6
#howtonotfat,0.09963519,6
#vscogram,0.09963519,6
#goodfoodmustshare,0.09963519,6
#welovefood,0.09963519,6
#wafflesandicecream,0.097155104,6
#burpplesg,0.097155104,6
#instalike,0.097155104,6
#backdrop,0.097155104,6
#instasg,0.097155104,6
#honeycomb,0.097155104,6
#igfood,0.085524496,6
#foodpics,0.085524496,6
#seasalt,0.085524496,6
#onthetable,0.085524496,6
#sweet,0.085524496,6
#passionfruit,0.085164857,6
#teatime,0.085164857,6
#like4like,0.085164857,6
#wafflesicecream,0.085164857,6
#dessertstagram,0.073940796,6
#______,0.073940796,6
#foodsg,0.073940796,6
#hungry,0.073940796,6
#happiness,0.073940796,6
#darkchocolate,0.073940796,6
#chill,0.073940796,6
#vscosg,0.073940796,6
#awesome,0.073940796,6
#instamood,0.064770069,6
#sgcafehopping,0.064770069,6
#sunday,0.575913506,7
#weekend,0.212031974,7
#foodgasm,0.202787956,7
#foodsg,0.157789559,7
#onthetable,0.141951569,7
#foodgram,0.131491299,7
#wafflesandicecream,0.115182701,7
#singaporecafe,0.106310681,7
#foodoftheday,0.106310681,7
#darkchocolate,0.105193039,7
#chipbeegardens,0.092146161,7
#roastedpistachio,0.092146161,7
#instasg,0.092146161,7
#instamood,0.092146161,7
#instadaily,0.092146161,7
#dessertoftheday,0.090870846,7
#goodfood,0.090870846,7
#latergram,0.081115182,7
#sgfoodporn,0.081115182,7
#earlgrey,0.081115182,7
#igfood,0.081115182,7
#dessertstagram,0.07889478,7
#vscosg,0.07889478,7
#cone,0.07889478,7
#igdaily,0.07889478,7
#potd,0.07889478,7
#sundayfolk,0.070873787,7
#speakeasy,0.070873787,7
#handmade,0.070873787,7
#libertycoffee,0.070873787,7
#igers,0.070873787,7
#sgigfoodies,0.070873787,7
#lifestyle,0.070873787,7
#madagascanvanilla,0.070873787,7
#mayplesyrup,0.070873787,7
#saturday,0.070873787,7
#papapalheta,0.070873787,7
#oralpleasure,0.070873787,7
#igfoodie,0.070873787,7
#omnomnom,0.070873787,7
#fincaisnul,0.070873787,7
#mochi,0.070873787,7
#foodaddict,0.070873787,7
#hipster,0.070873787,7
#vscogram,0.070873787,7
#cheatday,0.070873787,7
#instalike,0.069109621,7
#honeycomb,0.069109621,7
#photooftheday,0.069109621,7
#icecreamwaffle,0.069109621,7
