feature,tfidf,day
#8dayseat,0.183083869,1
#sundate,0.159968169,1
#sunday,0.152569891,1
#instalike,0.152569891,1
#jelly,0.136735488,1
#iphone,0.136735488,1
#seasalt,0.122055913,1
#cone,0.122055913,1
#sgeats,0.122055913,1
#cafehop,0.122055913,1
#asia,0.11871482,1
#blueberry,0.11871482,1
#vanilla,0.11871482,1
#belgianwaffles,0.11871482,1
#foodpornasia,0.106645446,1
#sundae,0.106645446,1
#city,0.106645446,1
#singaporeeats,0.106645446,1
#gulamelakaicecream,0.106645446,1
#foodstyling,0.106645446,1
#lifeisgood,0.106645446,1
#flakes,0.106645446,1
#mondayblues,0.106645446,1
#openricesg,0.103990863,1
#brunch,0.103990863,1
#dessertsg,0.103990863,1
#nomnom,0.091541934,1
#hungrygowhere,0.091541934,1
#___,0.091541934,1
#instamood,0.091541934,1
#instagramsg,0.091541934,1
#iweeklyfood,0.091156992,1
#chipbeegarden,0.091156992,1
#sundayfunday,0.091156992,1
#samsunggalaxy,0.091156992,1
#gelato,0.091156992,1
#mochi,0.091156992,1
#toppings,0.091156992,1
#enjoy,0.091156992,1
#hkig,0.091156992,1
#weekends,0.091156992,1
#omnomnom,0.079143214,1
#iphoneonly,0.079143214,1
#indulgence,0.079143214,1
#desserttime,0.079143214,1
#travelgram,0.079143214,1
#vscodaily,0.079143214,1
#delish,0.079143214,1
#amazing,0.079143214,1
#dessertlover,0.069327242,1
#instalove,0.227681168,2
#blueberry,0.197674571,2
#sinful,0.182144934,2
#tuesday,0.159819839,2
#vscogood,0.158139657,2
#dinner,0.158139657,2
#hollandv,0.121942737,2
#seasalt,0.121942737,2
#___,0.121942737,2
#______,0.118604743,2
#earl,0.10654656,2
#vscocamsunday,0.10654656,2
#yuzucheesecake,0.10654656,2
#theboingster,0.10654656,2
#grey,0.10654656,2
#singleslice,0.10654656,2
#sauce,0.10654656,2
#vscogrid,0.10654656,2
#fresh,0.10654656,2
#afternoontea,0.10654656,2
#fruits,0.103894438,2
